name,label,data_type,value_labels,n_missing,complete_rate
Q_TRIPLESUBUSE,Have you already been asked to use TRIPLE model as a basis to evaluate your performance during formal assessment (B&O) conversations? - Selected Choice,numeric,"1. Yes,2. No,3. Sort of, namely",299,0.464157706
QTRIPLE_LEADUSE,Have you already been using the TRIPLE model as a basis to evaluate the performance of your employees during formal assessment (B&O) conversations? - Selected Choice,numeric,"1. Yes,2. No,3. Sort of, namely",518,0.071684588
QTRIPLE_SUBATT_1,We would like to learn more from you about your opinion about the TRIPLE model.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree nor disagree; 4 = Agree; 5 = Totally agree) - I am enthusiastic about th,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",325,0.417562724
QTRIPLE_SUBATT_2,We would like to learn more from you about your opinion about the TRIPLE model.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree nor disagree; 4 = Agree; 5 = Totally agree) - The TRIPLE model is a good,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",325,0.417562724
QTRIPLE_SUBATT_3,We would like to learn more from you about your opinion about the TRIPLE model.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree nor disagree; 4 = Agree; 5 = Totally agree) - The TRIPLE model confuses/,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",325,0.417562724
QTRIPLE_SUBATT_4,We would like to learn more from you about your opinion about the TRIPLE model.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree nor disagree; 4 = Agree; 5 = Totally agree) - The TRIPLE model offers cl,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",325,0.417562724
QTRIPLE_SUBATT_5,We would like to learn more from you about your opinion about the TRIPLE model.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree nor disagree; 4 = Agree; 5 = Totally agree) - It is clear to me how to w,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",325,0.417562724
QTRIPLE_SUBATT_6,We would like to learn more from you about your opinion about the TRIPLE model.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree nor disagree; 4 = Agree; 5 = Totally agree) - The TRIPLE model is going,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",325,0.417562724
QTRIPLE_LEADATT_1,We would like to learn more from you about your opinion about the TRIPLE model. We would like to know your opinion on the TRIPLE model from your formal role as leader.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",520,0.068100358
QTRIPLE_LEADATT_2,We would like to learn more from you about your opinion about the TRIPLE model. We would like to know your opinion on the TRIPLE model from your formal role as leader.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",521,0.066308244
QTRIPLE_LEADATT_3,We would like to learn more from you about your opinion about the TRIPLE model. We would like to know your opinion on the TRIPLE model from your formal role as leader.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",521,0.066308244
QTRIPLE_LEADATT_4,We would like to learn more from you about your opinion about the TRIPLE model. We would like to know your opinion on the TRIPLE model from your formal role as leader.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",521,0.066308244
QTRIPLE_LEADATT_5,We would like to learn more from you about your opinion about the TRIPLE model. We would like to know your opinion on the TRIPLE model from your formal role as leader.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",521,0.066308244
QTRIPLE_LEADATT_6,We would like to learn more from you about your opinion about the TRIPLE model. We would like to know your opinion on the TRIPLE model from your formal role as leader.Please respond to the following statements(1 = Totally disagree ; 2 = Disagree ; 3,numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5),6. I don't know",522,0.064516129
INCLUSIE_VRAAG_1,"The following statements are about whether in your professional role, you feel included in the open science movement at Utrecht University.To what extend to do you agree with the following items(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree",numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",291,0.478494624
INCLUSIE_VRAAG_2,"The following statements are about whether in your professional role, you feel included in the open science movement at Utrecht University.To what extend to do you agree with the following items(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree",numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",292,0.476702509
INCLUSIE_VRAAG_3,"The following statements are about whether in your professional role, you feel included in the open science movement at Utrecht University.To what extend to do you agree with the following items(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree",numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",295,0.471326165
INCLUSIE_VRAAG_4,"The following statements are about whether in your professional role, you feel included in the open science movement at Utrecht University.To what extend to do you agree with the following items(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree",numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",294,0.47311828
INCLUSIE_VRAAG_5,"The following statements are about whether in your professional role, you feel included in the open science movement at Utrecht University.To what extend to do you agree with the following items(1 = Totally disagree ; 2 = Disagree ; 3 = Neither agree",numeric,"1. Totally disagree (1),2. (2),3. (3),4. (4),5. Totally agree (5)",293,0.474910394
Q_LEARN,I learned something new by filling out this survey,numeric,"1. Strongly disagree,2. Disagree,3. Neither agree nor disagree,4. Agree,5. Strongly agree",292,0.476702509
Q_DIFFICULTY,Answering the questions in this survey was ...,numeric,"1. Very difficult,2. Somewhat difficult,3. Neutral,4. Easy,5. Very easy",293,0.474910394
Q_Motivate,I am motivated to learn more about open science,numeric,"1. Strongly disagree,2. Disagree,3. Neither agree nor disagree,4. Agree,5. Strongly agree",292,0.476702509
OS_News,Would you like to receive the open science newsletter?,numeric,"1. Yes,2. No,3. I am already receiving the Open Science newsletter",290,0.480286738
Prac_Aw_1_1,"Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Pre-registration: Write down study predictions or planned analyses (time-stamped) prior to of analyzing data, includ",numeric,"1. Yes,2. No",232,0.584229391
Prac_Aw_1_2,"Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Pre-prints:Full drafts of journal articles that are published prior to peer-review. They are open for feedback, cita",numeric,"1. Yes,2. No",232,0.584229391
Prac_Aw_1_3,Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Open access publising: Publishing journal articles or books openly to make the content freely accessible to everyone,numeric,"1. Yes,2. No",232,0.584229391
Prac_Aw_1_4,Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Open data: Posting research data online freely accesible for others to see and use. Ideally open data should adhere,numeric,"1. Yes,2. No",232,0.584229391
Prac_Aw_1_5,Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Open research materials: Posting research materials online freely accessible for others to see and use. Examples of,numeric,"1. Yes,2. No",232,0.584229391
Prac_Aw_1_6,Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Open code: Posting code (or syntax) used to analyse or clean the quantitative data online freely accessible for othe,numeric,"1. Yes,2. No",232,0.584229391
Prac_Aw_1_7,"Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Open source software: Posting research software online freely accessible for anyone to use, without universities or",numeric,"1. Yes,2. No",233,0.582437276
Prac_Aw_1_8,"Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Public engagement: Interaction with general, non-academic audiences, e.g., school visits, debates, public or cultura",numeric,"1. Yes,2. No",233,0.582437276
Prac_Aw_1_9,"Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Societal stakeholder involvement:Research and/or educational projects where academics, often from different discipli",numeric,"1. Yes,2. No",233,0.582437276
Prac_Aw_1_10,"Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Team science: Academics collaborate in a team where each team member has its own expertise. For example, one team me",numeric,"1. Yes,2. No",233,0.582437276
Prac_Aw_1_11,Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Open science teaching:Implementing the principles and practices of open science in your student teaching and other e,numeric,"1. Yes,2. No",232,0.584229391
Prac_Aw_1_12,"Indicate in the right column whether you are aware of each of the 12 open science practices (yes/... - Are you aware of this practice? - Open education resources: Posting teaching materials such as open access textbooks, presentations, assignments or in",numeric,"1. Yes,2. No",232,0.584229391
Prac_Att_1,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",414,0.258064516
Prac_Att_2,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",404,0.275985663
Prac_Att_3,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",376,0.326164875
Prac_Att_4,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",373,0.331541219
Prac_Att_5,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",386,0.308243728
Prac_Att_6,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",395,0.292114695
Prac_Att_7,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",380,0.318996416
Prac_Att_8,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",368,0.340501792
Prac_Att_9,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",379,0.32078853
Prac_Att_10,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",387,0.306451613
Prac_Att_11,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",385,0.310035842
Prac_Att_12,"In your opinion, how important is each open science practice for the quality or impact of your work?For each practice, please click on the button that reflects your answer best; 1 = not at all important; 5 = very importantIf you find it difficult to a",numeric,"1. Not at all important (1),2. (2),3. (3),4. (4),5. Very Important(5),6. I don't know",384,0.311827957
Prac_Beh_1,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",308,0.448028674
Prac_Beh_2,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",308,0.448028674
Prac_Beh_3,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",307,0.449820789
Prac_Beh_4,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",307,0.449820789
Prac_Beh_5,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",307,0.449820789
Prac_Beh_6,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",307,0.449820789
Prac_Beh_7,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",306,0.451612903
Prac_Beh_8,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",305,0.453405018
Prac_Beh_9,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",306,0.451612903
Prac_Beh_10,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",307,0.449820789
Prac_Beh_11,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",307,0.449820789
Prac_Beh_12,"Are you involved in open science practices?Indicate to what extent you are involved in, or apply this practice in your work Please provide an answer by clicking on the button that reflects your answer best; 1 = I have never been involved in it; 5 = I",numeric,"1. I have never been involved in it,2. I am rarely involved in it,3. I am sometimes involved in it,4. I am involved in it in some of my work activities,5. I am involved in it for (almost) all of my work activities",308,0.448028674
OppMat_1,Engaging in open science practices has the opportunity to... ? - ..improve the quality of scientific knowledge,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",336,0.397849462
OppMat_2,Engaging in open science practices has the opportunity to... ? - ..detect unethical behavior in research practices,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",350,0.372759857
OppMat_3,Engaging in open science practices has the opportunity to... ? - ..improve diversity and inclusion in academia,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",349,0.374551971
OppMat_4,Engaging in open science practices has the opportunity to... ? - ..improve fairness in reward and promotion systems in academia,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",359,0.356630824
OppMat_5,Engaging in open science practices has the opportunity to... ? - ..create more career opportunities for young academics,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",354,0.365591398
OppMat_6,Engaging in open science practices has the opportunity to... ? - ..increase the societal impact of scientific work,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",334,0.401433692
OppMat_7,Engaging in open science practices has the opportunity to... ? - ..increase inter- or multidisciplinary collaborations between academics,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",334,0.401433692
OppMat_8,Engaging in open science practices has the opportunity to... ? - ..improve collaborative atmosphere among colleagues,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",346,0.379928315
OppMat_9,Engaging in open science practices has the opportunity to... ? - ..improve the quality of education,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",360,0.35483871
OppMat_10,Engaging in open science practices has the opportunity to... ? - ..learn from each others’ mistakes and talk openly about them,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",348,0.376344086
BarMat_1,An important obstacle from engaging in open science practices is that... - ..the workload is too high to integrate these practices.,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",395,0.292114695
BarMat_2,An important obstacle from engaging in open science practices is that... - ..people do not get time within their contract hours to do / learn this.,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",414,0.258064516
BarMat_3,An important obstacle from engaging in open science practices is that... - ..people do not get recognition from their supervisor for this.,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",427,0.234767025
BarMat_4,An important obstacle from engaging in open science practices is that... - ..it is not the norm to do this in the department (colleagues don’t do it).,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",424,0.240143369
BarMat_5,An important obstacle from engaging in open science practices is that... - ..there is insufficient practical support and training available in the department about this.,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",422,0.243727599
BarMat_6,An important obstacle from engaging in open science practices is that... - ..people would lose autonomy and freedom in how they do their work.,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",403,0.277777778
BarMat_7,"An important obstacle from engaging in open science practices is that... - ..a lot of research does not allow for it due to for example the GDPR, embargos and or patent issues.",numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",416,0.254480287
BarMat_8,An important obstacle from engaging in open science practices is that... - ..many OS practices do not fit with the culture of competition that still exists in the department.,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",433,0.224014337
BarMat_9,An important obstacle from engaging in open science practices is that... - ..career promotion and success still heavily rely on “individual excellence” standards that do not fit with many OS practices.,numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",424,0.240143369
BarMat_10,"An important obstacle from engaging in open science practices is that... - ..people are afraid that if they make a mistake in the OS practice, it will be held against them (e.g., by being publicly shamed, or seen as fraudulent).",numeric,"1. Strongly disagree(1),2. (2),3. (3),4. (4),5. Strongly agree(5),6. I don't know",440,0.211469534
OS_SUPP,We just asked about potential obstacles and opportunities you see to open science. We now want to elaborate on the key role of support needed to engage in open science. The next questions are on finding the right support systems and providing support on o,numeric,"1. Yes, I have been asked to help with OS,2. No, I have never been asked to help with OS,3. I cannot remember/I don't know if I have ever been asked to help with OS,4. This question is not applicable to me/my work",308,0.448028674
